date,memo,horse_5,horse_6,horse_7,horse_8,horse_9,horse_10,horse_11,horse_12,horse_13,horse_14,horse_15,horse_16,horse_17,horse_18,all_logloss,auc(ovr)
2025/08/01 16:05,"add jockey_glicko2 poly, n_trials = 100",1.3814469242336291,1.1570503608305729,0.9687571223326006,0.9866941924447532,0.885273639192034,0.8124362950223238,0.7574685521768014,0.7152025215119482,0.6836046952210046,0.658546054080401,0.6261368477601568,0.5897904872067248,0.5714832997847219,0.5425940647386027,0.6360042441502423,0.7683443357324845
2025/08/01 13:51,"add jockey_glicko2, n_trials = 100",1.3793402659952227,1.1622082918848513,0.9675731214198152,0.9870129208359648,0.8868612188354318,0.812023979575599,0.7573655732480546,0.7150827190883322,0.6843279811718807,0.6583518509846369,0.6260045267843011,0.5896746331096919,0.5707969358981294,0.5428159559597334,0.6359921422520163,0.7683381664670097
2025/07/28 00:11,"add date feature (include cosine), n_trials = 100",1.4003427889909998,1.1669082724109738,0.972831700033879,0.9890088461618152,0.8864294708592547,0.8127461777804348,0.7577963290215789,0.7151119011033559,0.6838363218211153,0.6584060068177706,0.6257694534388112,0.589790555235013,0.5717686362516895,0.5426828985627433,0.6360996864000228,0.7683419397410287
2025/07/27 22:58,"remove feature_selection, n_trials = 100",1.3960631612777343,1.1673484034811266,0.9706305905675936,0.988094482506414,0.8864872933091023,0.8122032463601017,0.7583290272456178,0.715027721808274,0.6838435075175965,0.6585722551035176,0.6260267534466484,0.5898264413447634,0.5703060336851964,0.5431283845629328,0.6361495771267976,0.7681738964074061
2025/07/09 23:07,"base_model + feature selection with lightGBM, n_trials = 100",1.3976375537101229,1.1037926110013472,0.9748723968249584,1.0012592094529988,0.8990750589832622,0.8266860125708645,0.7682325210180486,0.7176132461099793,0.6903332597595562,0.6614222014390598,0.6272229185080415,0.5859651062225053,0.5678358549481037,0.5336859610863101,0.6398628426375889,0.7686831757232535
2025/07/09 15:38,"base_model + feature selection with lightGBM, n_trials = 100",1.3976375537101229,1.1037926110013472,0.9748723968249584,1.0012592094529988,0.8990750589832622,0.8266860125708645,0.7682325210180486,0.7176132461099793,0.6903332597595562,0.6614222014390598,0.6272229185080415,0.5859651062225053,0.5678358549481037,0.5336859610863101,0.6398628426375889,0.7686831757232535
2025/07/09 13:44,"base_model + feature selection with lightGBM, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/07 01:12,"base_model + feature selection with lightGBM, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/07 01:04,"base_model, n_trials = 100",1.3946655402152663,1.16971919592145,0.9731552906548664,0.987740305361139,0.8870234872740277,0.8129363728514676,0.7571597043510611,0.7151502712940214,0.6837033953281334,0.6582980584796388,0.6263419846666751,0.5900294055131885,0.5716424277779079,0.542707667737105,0.6362402702614044,0.7681224200391006
2025/07/06 22:19,"n_trials: 5->10, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/06 22:13,"n_trials: 5->10, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/06 21:53,"n_trials: 5->10, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/06 21:46,"select_features, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/06 21:39,"select_features, n_trials = 100",1.4068487585258025,1.1013211112640655,0.9771553110282228,1.0028130019288086,0.8995351181517335,0.8276257577473441,0.7690644991763752,0.7160929025123907,0.6904903011479805,0.6605481124358222,0.6273352963092181,0.5862721273705516,0.5679264460955422,0.5334382803147798,0.6399259937773084,0.768559382044562
2025/07/06 20:43,"add extra trees, n_trials = 100",1.3946655402152663,1.16971919592145,0.9731552906548664,0.987740305361139,0.8870234872740277,0.8129363728514676,0.7571597043510611,0.7151502712940214,0.6837033953281334,0.6582980584796388,0.6263419846666751,0.5900294055131885,0.5716424277779079,0.542707667737105,0.6362402702614044,0.7681224200391006
2025/07/06 20:29,"base, n_trials = 100",1.3882134286610388,1.1448942183188509,0.9529958742011008,0.9737710011535986,0.8845528157976333,0.8170264514326185,0.7589854569824503,0.7159794426451549,0.6838594739586303,0.6614974644184021,0.6303540705983931,0.5901214087926431,0.569007168687872,0.5423837563169842,0.6367363155456843,0.7674900321923042
2025/07/06 20:24,"base, n_trials = 100",1.3318080937453478,1.1245373983300224,0.9482162419329372,0.9699831407998928,0.8865228200789965,0.8171145554913826,0.7580626288801458,0.7166357319878917,0.6831418874973632,0.6605371509934387,0.6311752106516286,0.5902001458327755,0.5689967365970646,0.5422792921827803,0.6366530654305931,0.7674191939343397
2025/07/06 18:36,"use 2008-2025 data, delete first 2years data(against cold-start problem), n_trials = 100",1.2618969628113812,1.192664193058838,1.0206475555265302,0.9559006013893652,0.9025486591522912,0.8339065632258755,0.7797384373615736,0.7311681641190527,0.6937819668187029,0.6700987522745376,0.638323186527596,0.599579265630612,0.5799992991945626,0.5512088608458385,0.6592879713526101,0.7549179955531644
2025/07/06 18:16,"use 2008-2025 data, n_trials = 100",1.2959343045303742,1.1747700891589314,1.038595032636846,0.9711237937499968,0.9047006026979938,0.8332689277866432,0.784689077385915,0.7352486316833003,0.6978570330380044,0.6701992185535726,0.6367939161709348,0.598688424209209,0.5730762558612943,0.5512162557476923,0.6615257742296099,0.7539234268667186
2025/07/06 17:33,saving score test,,1.2149731551921754,1.117126964888458,1.0582109176343009,0.8963364836984447,0.8414990471088281,0.7875713403129571,0.7376058496979362,0.6955022019828269,0.7252908111101611,0.6337638834978986,0.6003110158454532,0.5903421937371711,0.5462997686140612,0.6801608375713751,0.744039194065541
2025/07/06 17:31,saving score test,,1.2149731551921754,1.117126964888458,1.0582109176343009,0.8963364836984447,0.8414990471088281,0.7875713403129571,0.7376058496979362,0.6955022019828269,0.7252908111101611,0.6337638834978986,0.6003110158454532,0.5903421937371711,0.5462997686140612,0.6801608375713751,0.744039194065541
